alpha_deg,CL,CDi,e,CL_over_CDi,cm_apex
-2.000,-0.23809,0.005799,0.50955,-41.056,0.23523
-1.000,-0.16538,0.003692,0.38623,-44.799,0.17079
0.000,-0.09268,0.002184,0.20506,-42.443,0.10636
1.000,-0.01998,0.001275,0.01632,-15.667,0.04193
2.000,0.05273,0.000966,0.15002,54.583,-0.02250
3.000,0.12543,0.001256,0.65280,99.839,-0.08694
4.000,0.19813,0.002146,0.95354,92.322,-0.15137
5.000,0.27083,0.003635,1.05184,74.501,-0.21580
6.000,0.34354,0.005724,1.07481,60.017,-0.28023
7.000,0.41624,0.008412,1.07366,49.481,-0.34467
8.000,0.48894,0.011700,1.06519,41.791,-0.40910
9.000,0.56165,0.015587,1.05500,36.034,-0.47353
10.000,0.63435,0.020073,1.04502,31.602,-0.53796
11.000,0.70705,0.025159,1.03584,28.103,-0.60240
12.000,0.77975,0.030844,1.02760,25.280,-0.66683
