alpha_deg,y,chord,cl_section,span_load_cl_c,alpha_ind_deg
-2.000,-3.1492,0.58979,-0.17541,-0.10346,5.2353
-2.000,-3.1461,0.59066,-0.24088,-0.14228,4.5713
-2.000,-3.1399,0.59240,-0.29450,-0.17447,4.0204
-2.000,-3.1306,0.59502,-0.33627,-0.20009,3.5829
-2.000,-3.1182,0.59850,-0.36912,-0.22092,3.2290
-2.000,-3.1027,0.60285,-0.39507,-0.23817,2.9387
-2.000,-3.0842,0.60805,-0.41549,-0.25264,2.6982
-2.000,-3.0626,0.61411,-0.43134,-0.26489,2.4977
-2.000,-3.0380,0.62102,-0.44337,-0.27534,2.3299
-2.000,-3.0104,0.62877,-0.45213,-0.28429,2.1893
-2.000,-2.9798,0.63735,-0.45808,-0.29196,2.0713
-2.000,-2.9463,0.64676,-0.46157,-0.29853,1.9723
-2.000,-2.9099,0.65699,-0.46292,-0.30413,1.8893
-2.000,-2.8706,0.66802,-0.46238,-0.30888,1.8199
-2.000,-2.8284,0.67985,-0.46018,-0.31285,1.7619
-2.000,-2.7835,0.69246,-0.45648,-0.31610,1.7134
-2.000,-2.7359,0.70584,-0.45147,-0.31867,1.6730
-2.000,-2.6855,0.71998,-0.44529,-0.32060,1.6392
-2.000,-2.6325,0.73486,-0.43806,-0.32192,1.6109
-2.000,-2.5769,0.75048,-0.42990,-0.32263,1.5870
-2.000,-2.5187,0.76681,-0.42091,-0.32276,1.5665
-2.000,-2.4581,0.78383,-0.41119,-0.32230,1.5488
-2.000,-2.3950,0.80154,-0.40081,-0.32127,1.5330
-2.000,-2.3296,0.81991,-0.38986,-0.31965,1.5184
-2.000,-2.2618,0.83892,-0.37841,-0.31746,1.5045
-2.000,-2.1919,0.85857,-0.36652,-0.31468,1.4907
-2.000,-2.1197,0.87882,-0.35426,-0.31133,1.4766
-2.000,-2.0455,0.89965,-0.34169,-0.30740,1.4616
-2.000,-1.9693,0.92106,-0.32885,-0.30289,1.4454
-2.000,-1.8911,0.94300,-0.31581,-0.29781,1.4276
-2.000,-1.8110,0.96548,-0.30261,-0.29217,1.4078
-2.000,-1.7292,0.98845,-0.28930,-0.28596,1.3857
-2.000,-1.6457,1.01191,-0.27593,-0.27921,1.3610
-2.000,-1.5605,1.03582,-0.26253,-0.27193,1.3335
-2.000,-1.4738,1.06016,-0.24914,-0.26413,1.3029
-2.000,-1.3856,1.08491,-0.23582,-0.25584,1.2689
-2.000,-1.2961,1.11004,-0.22259,-0.24708,1.2313
-2.000,-1.2053,1.13554,-0.20949,-0.23788,1.1901
-2.000,-1.1133,1.16136,-0.19655,-0.22827,1.1449
-2.000,-1.0202,1.18750,-0.18381,-0.21827,1.0956
-2.000,-0.9261,1.21392,-0.17129,-0.20793,1.0423
-2.000,-0.8311,1.24059,-0.15902,-0.19727,0.9846
-2.000,-0.7353,1.26750,-0.14701,-0.18634,0.9228
-2.000,-0.6387,1.29461,-0.13528,-0.17514,0.8567
-2.000,-0.5415,1.32190,-0.12384,-0.16370,0.7866
-2.000,-0.4438,1.34933,-0.11265,-0.15201,0.7129
-2.000,-0.3456,1.37689,-0.10168,-0.14000,0.6362
-2.000,-0.2471,1.40455,-0.09079,-0.12752,0.5581
-2.000,-0.1484,1.43227,-0.07968,-0.11413,0.4816
-2.000,-0.0495,1.46003,-0.06745,-0.09848,0.4163
-2.000,0.0495,1.46003,-0.06745,-0.09848,0.4163
-2.000,0.1484,1.43227,-0.07968,-0.11413,0.4816
-2.000,0.2471,1.40455,-0.09079,-0.12752,0.5581
-2.000,0.3456,1.37689,-0.10168,-0.14000,0.6362
-2.000,0.4438,1.34933,-0.11265,-0.15201,0.7129
-2.000,0.5415,1.32190,-0.12384,-0.16370,0.7866
-2.000,0.6387,1.29461,-0.13528,-0.17514,0.8567
-2.000,0.7353,1.26750,-0.14701,-0.18634,0.9228
-2.000,0.8311,1.24059,-0.15902,-0.19727,0.9846
-2.000,0.9261,1.21392,-0.17129,-0.20793,1.0423
-2.000,1.0202,1.18750,-0.18381,-0.21827,1.0956
-2.000,1.1133,1.16136,-0.19655,-0.22827,1.1449
-2.000,1.2053,1.13554,-0.20949,-0.23788,1.1901
-2.000,1.2961,1.11004,-0.22259,-0.24708,1.2313
