t_s,V_mps,cda_drogue_m2,F_drag_total_N,F_bridle_N
0.0000,55.000,0.0000,0.0,0.0
0.0200,55.040,0.0653,863.1,205.9
0.0400,55.058,0.1306,985.1,412.2
0.0601,55.052,0.1959,1106.3,618.2
0.0801,55.023,0.2612,1226.5,823.6
0.1001,54.971,0.3265,1345.4,1027.8
0.1201,54.897,0.3918,1462.6,1230.3
0.1401,54.801,0.4571,1578.0,1430.6
0.1601,54.683,0.5224,1691.3,1628.3
0.1802,54.544,0.5877,1802.1,1822.9
0.2002,54.384,0.6530,1910.4,2013.9
0.2202,54.203,0.7183,2015.8,2201.1
0.2402,54.003,0.7836,2118.2,2383.9
0.2602,53.784,0.8488,2217.3,2562.1
0.2802,53.546,0.9141,2313.1,2735.4
0.3003,53.291,0.9794,2405.4,2903.4
0.3203,53.018,1.0447,2493.9,3065.9
0.3403,52.729,1.1100,2578.7,3222.6
0.3603,52.424,1.1753,2659.7,3373.4
0.3803,52.105,1.2406,2736.7,3518.0
0.4003,51.771,1.3059,2809.7,3656.5
0.4204,51.423,1.3712,2878.6,3788.5
0.4404,51.063,1.4365,2943.5,3914.1
0.4604,50.696,1.4679,2951.0,2319.1
0.4804,50.335,1.4679,2909.0,2286.1
0.5004,49.982,1.4679,2868.2,2254.0
0.5204,49.636,1.4679,2828.5,2222.8
0.5405,49.298,1.4679,2790.0,2192.5
0.5605,48.967,1.4679,2752.5,2163.1
0.5805,48.643,1.4679,2716.1,2134.5
0.6005,48.326,1.4679,2680.7,2106.7
0.6205,48.016,1.4679,2646.3,2079.6
0.6405,47.712,1.4679,2612.7,2053.3
0.6606,47.415,1.4679,2580.1,2027.6
0.6806,47.123,1.4679,2548.4,2002.7
0.7006,46.837,1.4679,2517.5,1978.4
0.7206,46.558,1.4679,2487.4,1954.7
0.7406,46.283,1.4679,2458.1,1931.7
0.7606,46.015,1.4679,2429.5,1909.3
0.7807,45.752,1.4679,2401.7,1887.4
0.8007,45.493,1.4679,2374.6,1866.1
0.8207,45.240,1.4679,2348.1,1845.3
0.8407,44.992,1.4679,2322.4,1825.1
0.8607,44.749,1.4679,2297.2,1805.3
0.8807,44.511,1.4679,2272.7,1786.1
0.9008,44.277,1.4679,2248.8,1767.3
0.9208,44.047,1.4679,2225.5,1748.9
0.9408,43.822,1.4679,2202.7,1731.0
0.9608,43.601,1.4679,2180.5,1713.6
0.9808,43.385,1.4679,2158.8,1696.5
1.0008,43.172,1.4679,2137.7,1679.9
1.0209,42.964,1.4679,2117.0,1663.7
1.0409,42.759,1.4679,2096.8,1647.8
1.0609,42.558,1.4679,2077.1,1632.3
1.0809,42.361,1.4679,2057.8,1617.1
1.1009,42.167,1.4679,2039.0,1602.3
1.1209,41.977,1.4679,2020.6,1587.9
1.1410,41.791,1.4679,2002.6,1573.7
1.1610,41.608,1.4679,1985.0,1559.9
1.1810,41.428,1.4679,1967.8,1546.4
1.2010,41.251,1.4679,1951.0,1533.2
1.2210,41.077,1.4679,1934.6,1520.3
1.2410,40.907,1.4679,1918.5,1507.7
1.2611,40.740,1.4679,1902.8,1495.3
1.2811,40.575,1.4679,1887.4,1483.2
1.3011,40.414,1.4679,1872.3,1471.4
1.3211,40.255,1.4679,1857.6,1459.8
1.3411,40.099,1.4679,1843.2,1448.5
1.3611,39.946,1.4679,1829.1,1437.4
1.3812,39.795,1.4679,1815.3,1426.5
1.4012,39.647,1.4679,1801.7,1415.9
1.4212,39.501,1.4679,1788.5,1405.5
1.4412,39.358,1.4679,1775.5,1395.3
1.4612,39.218,1.4679,1762.8,1385.3
1.4812,39.080,1.4679,1750.4,1375.6
1.5013,38.944,1.4679,1738.2,1366.0
1.5213,38.810,1.4679,1726.3,1356.6
1.5413,38.679,1.4679,1714.6,1347.4
1.5613,38.550,1.4679,1703.1,1338.4
1.5813,38.423,1.4679,1691.9,1329.6
1.6013,38.298,1.4679,1680.9,1320.9
1.6214,38.176,1.4679,1670.1,1312.4
1.6414,38.055,1.4679,1659.5,1304.1
1.6614,37.936,1.4679,1649.1,1296.0
1.6814,37.819,1.4679,1638.9,1288.0
1.7014,37.704,1.4679,1629.0,1280.1
1.7214,37.592,1.4679,1619.2,1272.4
1.7415,37.480,1.4679,1609.6,1264.9
