dt_ms,abs_dt_ms
9.8602,9.8602
-0.0867,0.0867
1.2908,1.2908
6.8418,6.8418
-12.6170,12.6170
3.6110,3.6110
7.1544,7.1544
1.6178,1.6178
-2.0969,2.0969
1.1564,1.1564
0.5461,0.5461
8.2875,8.2875
-1.7415,1.7415
3.2172,3.2172
0.9564,0.9564
-4.0224,4.0224
-5.3038,5.3038
-2.2559,2.2559
10.1117,10.1117
-7.2978,7.2978
-4.4333,4.4333
1.0868,1.0868
-5.6240,5.6240
4.6829,4.6829
-7.7808,7.7808
-10.4729,10.4729
4.9417,4.9417
7.4882,7.4882
-2.0719,2.0719
-3.6404,3.6404
5.6043,5.6043
2.1502,2.1502
0.2906,0.2906
4.4102,4.4102
3.4259,3.4259
0.7535,0.7535
-4.8697,4.8697
1.0744,1.0744
-1.1867,1.1867
-0.7712,0.7712
5.5400,5.5400
3.7284,3.7284
0.8504,0.8504
-0.6936,0.6936
3.8540,3.8540
-2.0196,2.0196
0.8731,0.8731
3.2570,3.2570
4.3801,4.3801
2.7299,2.7299
5.6664,5.6664
4.5031,4.5031
-7.3798,7.3798
-2.2026,2.2026
-6.6986,6.6986
-7.7194,7.7194
-0.1062,0.1062
2.6278,2.6278
-5.5778,5.5778
12.3320,12.3320
-2.8562,2.8562
-0.6429,0.6429
2.1295,2.1295
0.0240,0.0240
-9.0812,9.0812
-2.4461,2.4461
-1.7764,1.7764
5.5162,5.5162
4.0817,4.0817
4.5337,4.5337
-7.6617,7.6617
0.1232,0.1232
-9.2218,9.2218
-7.2117,7.2117
6.1242,6.1242
8.1854,8.1854
-0.9233,0.9233
-1.1195,1.1195
4.6744,4.6744
3.4892,3.4892
5.2885,5.2885
2.4716,2.4716
1.5634,1.5634
-11.6548,11.6548
-5.8221,5.8221
-1.1306,1.1306
-3.5891,3.5891
-8.2874,8.2874
0.7950,0.7950
-2.0630,2.0630
2.1486,2.1486
1.1487,1.1487
-12.1955,12.1955
1.4105,1.4105
-5.0094,5.0094
-1.3139,1.3139
-5.5549,5.5549
2.2314,2.2314
7.4449,7.4449
1.8695,1.8695
-5.2892,5.2892
6.0642,6.0642
-3.4304,3.4304
4.5175,4.5175
4.8551,4.8551
1.6041,1.6041
-6.3407,6.3407
5.2001,5.2001
0.0891,0.0891
-14.3028,14.3028
-6.3843,6.3843
11.6222,11.6222
3.3765,3.3765
-5.7055,5.7055
-5.9892,5.9892
-5.6009,5.6009
4.3878,4.3878
2.5824,2.5824
10.7237,10.7237
1.6083,1.6083
-3.4110,3.4110
3.5771,3.5771
3.2523,3.2523
5.7849,5.7849
9.0748,9.0748
4.3186,4.3186
-3.3113,3.3113
-1.2984,1.2984
3.0733,3.0733
-1.4202,1.4202
2.2336,2.2336
-4.3713,4.3713
0.5307,0.5307
-5.1128,5.1128
-6.0432,6.0432
-14.7139,14.7139
0.8463,0.8463
5.2547,5.2547
-1.1211,1.1211
13.1736,13.1736
-2.9553,2.9553
-3.0473,3.0473
-5.3793,5.3793
-0.2850,0.2850
-4.4562,4.4562
5.8560,5.8560
7.6795,7.6795
2.3543,2.3543
-10.3376,10.3376
0.5942,0.5942
-2.4581,2.4581
2.4146,2.4146
4.3034,4.3034
-6.4460,6.4460
1.3215,1.3215
-0.3946,0.3946
2.8493,2.8493
7.1333,7.1333
-4.7082,4.7082
-2.0666,2.0666
-6.9680,6.9680
-8.8595,8.8595
9.2381,9.2381
5.9606,5.9606
-3.5490,3.5490
0.8856,0.8856
2.6156,2.6156
8.4330,8.4330
-5.7354,5.7354
6.6119,6.6119
-0.2257,0.2257
-3.7346,3.7346
3.8355,3.8355
-10.7271,10.7271
3.4392,3.4392
5.1826,5.1826
0.1626,0.1626
1.2982,1.2982
-3.6847,3.6847
-4.0291,4.0291
11.0941,11.0941
12.6898,12.6898
-10.3895,10.3895
1.6468,1.6468
3.5234,3.5234
0.2110,0.2110
-0.0094,0.0094
-0.4832,0.4832
-9.2879,9.2879
2.7192,2.7192
16.3304,16.3304
6.5448,6.5448
-11.0672,11.0672
7.6399,7.6399
-4.0913,4.0913
4.7353,4.7353
7.4876,7.4876
0.7411,0.7411
-0.8705,0.8705
-3.4496,3.4496
2.9415,2.9415
-1.3011,1.3011
-8.1307,8.1307
-0.6606,0.6606
-6.5305,6.5305
4.2612,4.2612
3.9292,3.9292
3.5582,3.5582
-1.7834,1.7834
-1.8423,1.8423
-0.4846,0.4846
-1.8321,1.8321
3.0512,3.0512
7.3289,7.3289
-4.0181,4.0181
3.5213,3.5213
-3.3229,3.3229
6.5883,6.5883
9.0852,9.0852
-3.8067,3.8067
-4.5985,4.5985
1.2874,1.2874
8.7994,8.7994
-7.8225,7.8225
9.1446,9.1446
-0.3561,0.3561
10.7968,10.7968
