load_case,n_load,spar,y_m,M_Nm,sigma_MPa,SF_strength,SF_buckling
1g cruise,1.0,front,0.0412,699.821,323.873,1.245,130.358
1g cruise,1.0,front,0.1237,658.261,304.640,1.324,138.588
1g cruise,1.0,front,0.2060,617.874,285.948,1.411,147.647
1g cruise,1.0,front,0.2882,578.765,267.849,1.506,157.624
1g cruise,1.0,front,0.3702,541.014,250.378,1.611,168.623
1g cruise,1.0,front,0.4520,504.680,233.563,1.727,180.762
1g cruise,1.0,front,0.5334,469.806,217.424,1.855,194.181
1g cruise,1.0,front,0.6145,436.422,201.974,1.997,209.034
1g cruise,1.0,front,0.6951,404.546,187.222,2.154,225.505
1g cruise,1.0,front,0.7753,374.187,173.172,2.329,243.801
1g cruise,1.0,front,0.8550,345.344,159.823,2.524,264.163
1g cruise,1.0,front,0.9340,318.008,147.172,2.741,286.871
1g cruise,1.0,front,1.0124,292.163,135.211,2.983,312.248
1g cruise,1.0,front,1.0902,267.788,123.931,3.255,340.670
1g cruise,1.0,front,1.1672,244.854,113.317,3.559,372.578
1g cruise,1.0,front,1.2433,223.330,167.759,2.404,261.431
1g cruise,1.0,front,1.3187,203.178,152.622,2.643,287.361
1g cruise,1.0,front,1.3931,184.357,138.484,2.912,316.697
1g cruise,1.0,front,1.4666,166.825,125.315,3.219,349.980
1g cruise,1.0,front,1.5390,150.535,113.078,3.567,387.853
1g cruise,1.0,front,1.6104,135.438,101.737,3.964,431.086
1g cruise,1.0,front,1.6807,121.485,91.256,4.420,480.599
1g cruise,1.0,front,1.7499,108.624,81.595,4.943,537.501
1g cruise,1.0,front,1.8179,96.803,72.716,5.547,603.136
1g cruise,1.0,front,1.8846,85.970,64.579,6.246,679.136
1g cruise,1.0,front,1.9500,76.072,57.144,7.058,767.499
1g cruise,1.0,front,2.0141,67.057,50.372,8.007,870.681
1g cruise,1.0,front,2.0768,58.873,44.224,9.120,991.724
1g cruise,1.0,front,2.1380,51.467,38.661,10.433,1134.414
1g cruise,1.0,front,2.1979,44.791,33.646,11.988,1303.500
1g cruise,1.0,front,2.2562,38.795,29.142,13.840,1504.982
1g cruise,1.0,front,2.3129,33.430,25.112,16.062,1746.496
1g cruise,1.0,front,2.3681,28.651,21.522,18.741,2037.845
1g cruise,1.0,front,2.4216,24.411,18.337,21.995,2391.727
1g cruise,1.0,front,2.4735,20.669,26.834,15.031,1724.087
1g cruise,1.0,front,2.5237,17.383,22.567,17.872,2050.067
1g cruise,1.0,front,2.5722,14.512,18.840,21.408,2455.621
1g cruise,1.0,front,2.6189,12.019,15.604,25.848,2964.932
1g cruise,1.0,front,2.6638,9.868,12.812,31.482,3611.131
1g cruise,1.0,front,2.7069,8.026,10.419,38.710,4440.262
1g cruise,1.0,front,2.7481,6.459,8.385,48.100,5517.320
1g cruise,1.0,front,2.7875,5.138,6.671,60.465,6935.652
1g cruise,1.0,front,2.8249,4.035,5.238,76.996,8831.890
1g cruise,1.0,front,2.8604,3.123,4.055,99.475,11410.304
1g cruise,1.0,front,2.8939,2.378,3.088,130.626,14983.579
1g cruise,1.0,front,2.9255,1.778,2.308,174.736,20043.233
1g cruise,1.0,front,2.9550,1.301,1.689,238.746,27385.515
1g cruise,1.0,front,2.9826,0.929,1.207,334.294,35635.624
1g cruise,1.0,front,3.0081,0.645,0.837,481.685,35635.624
1g cruise,1.0,front,3.0315,0.433,0.562,718.021,35635.624
1g cruise,1.0,front,3.0528,0.279,0.362,1114.916,35635.624
1g cruise,1.0,front,3.0721,0.171,0.222,1820.029,35635.624
1g cruise,1.0,front,3.0892,0.098,0.127,3163.458,35635.624
1g cruise,1.0,front,3.1042,0.052,0.068,5962.265,35635.624
1g cruise,1.0,front,3.1171,0.025,0.032,12525.355,35635.624
1g cruise,1.0,front,3.1279,0.010,0.013,30667.762,35635.624
1g cruise,1.0,front,3.1365,0.003,0.004,94803.112,35635.624
1g cruise,1.0,front,3.1430,0.001,0.001,437906.467,35635.624
1g cruise,1.0,front,3.1473,0.000,0.000,4929038.475,35635.624
1g cruise,1.0,front,3.1495,0.000,0.000,403333333.333,35635.624
1g cruise,1.0,rear,0.0412,87.478,75.721,5.327,586.610
1g cruise,1.0,rear,0.1237,82.283,71.224,5.663,623.647
1g cruise,1.0,rear,0.2060,77.234,66.854,6.033,664.411
1g cruise,1.0,rear,0.2882,72.346,62.622,6.441,709.307
1g cruise,1.0,rear,0.3702,67.627,58.538,6.890,758.801
1g cruise,1.0,rear,0.4520,63.085,54.606,7.386,813.431
1g cruise,1.0,rear,0.5334,58.726,50.833,7.934,873.812
1g cruise,1.0,rear,0.6145,54.553,47.221,8.541,940.655
1g cruise,1.0,rear,0.6951,50.568,43.772,9.214,1014.773
1g cruise,1.0,rear,0.7753,46.773,40.487,9.962,1097.105
1g cruise,1.0,rear,0.8550,43.168,37.366,10.794,1188.736
1g cruise,1.0,rear,0.9340,39.751,34.408,11.722,1290.920
1g cruise,1.0,rear,1.0124,36.520,31.612,12.759,1405.114
1g cruise,1.0,rear,1.0902,33.473,28.975,13.920,1533.014
1g cruise,1.0,rear,1.1672,30.607,26.493,15.224,1676.599
1g cruise,1.0,rear,1.2433,27.916,39.729,10.152,1176.441
1g cruise,1.0,rear,1.3187,25.397,36.144,11.159,1293.126
1g cruise,1.0,rear,1.3931,23.045,32.796,12.298,1425.136
1g cruise,1.0,rear,1.4666,20.853,29.677,13.591,1574.909
1g cruise,1.0,rear,1.5390,18.817,26.779,15.062,1745.340
1g cruise,1.0,rear,1.6104,16.930,24.093,16.740,1939.887
1g cruise,1.0,rear,1.6807,15.186,21.611,18.663,2162.695
1g cruise,1.0,rear,1.7499,13.578,19.323,20.873,2418.756
1g cruise,1.0,rear,1.8179,12.100,17.221,23.422,2714.112
1g cruise,1.0,rear,1.8846,10.746,15.293,26.373,3056.111
1g cruise,1.0,rear,1.9500,9.509,13.533,29.804,3453.744
1g cruise,1.0,rear,2.0141,8.382,11.929,33.811,3918.065
1g cruise,1.0,rear,2.0768,7.359,10.473,38.512,4462.758
1g cruise,1.0,rear,2.1380,6.433,9.156,44.053,5104.864
1g cruise,1.0,rear,2.1979,5.599,7.968,50.619,5865.752
1g cruise,1.0,rear,2.2562,4.849,6.901,58.443,6772.419
1g cruise,1.0,rear,2.3129,4.179,5.947,67.822,7859.230
1g cruise,1.0,rear,2.3681,3.581,5.097,79.136,9170.302
1g cruise,1.0,rear,2.4216,3.051,4.343,92.878,10762.769
1g cruise,1.0,rear,2.4735,2.584,7.117,56.672,7150.132
1g cruise,1.0,rear,2.5237,2.173,5.985,67.387,8502.038
1g cruise,1.0,rear,2.5722,1.814,4.997,80.718,10183.952
1g cruise,1.0,rear,2.6189,1.502,4.138,97.460,12296.166
1g cruise,1.0,rear,2.6638,1.234,3.398,118.701,14976.084
1g cruise,1.0,rear,2.7069,1.003,2.763,145.955,18414.655
1g cruise,1.0,rear,2.7481,0.807,2.224,181.359,18473.507
1g cruise,1.0,rear,2.7875,0.642,1.769,227.981,18473.507
1g cruise,1.0,rear,2.8249,0.504,1.389,290.311,18473.507
1g cruise,1.0,rear,2.8604,0.390,1.075,375.066,18473.507
1g cruise,1.0,rear,2.8939,0.297,0.819,492.522,18473.507
1g cruise,1.0,rear,2.9255,0.222,0.612,658.837,18473.507
1g cruise,1.0,rear,2.9550,0.163,0.448,900.184,18473.507
1g cruise,1.0,rear,2.9826,0.116,0.320,1260.446,18473.507
1g cruise,1.0,rear,3.0081,0.081,0.222,1816.181,18473.507
1g cruise,1.0,rear,3.0315,0.054,0.149,2707.277,18473.507
1g cruise,1.0,rear,3.0528,0.035,0.096,4203.760,18473.507
1g cruise,1.0,rear,3.0721,0.021,0.059,6862.368,18473.507
1g cruise,1.0,rear,3.0892,0.012,0.034,11927.730,18473.507
1g cruise,1.0,rear,3.1042,0.007,0.018,22480.557,18473.507
1g cruise,1.0,rear,3.1171,0.003,0.009,47226.508,18473.507
1g cruise,1.0,rear,3.1279,0.001,0.003,115631.952,18473.507
1g cruise,1.0,rear,3.1365,0.000,0.001,357452.527,18473.507
1g cruise,1.0,rear,3.1430,0.000,0.000,1651114.284,18473.507
1g cruise,1.0,rear,3.1473,0.000,0.000,18584803.960,18473.507
1g cruise,1.0,rear,3.1495,0.000,0.000,403333333.333,18473.507
3g limit,3.0,front,0.0412,2099.464,971.620,0.415,43.453
3g limit,3.0,front,0.1237,1974.784,913.919,0.441,46.196
3g limit,3.0,front,0.2060,1853.621,857.845,0.470,49.216
3g limit,3.0,front,0.2882,1736.295,803.548,0.502,52.541
3g limit,3.0,front,0.3702,1623.043,751.135,0.537,56.208
3g limit,3.0,front,0.4520,1514.040,700.689,0.576,60.254
3g limit,3.0,front,0.5334,1409.418,652.271,0.618,64.727
3g limit,3.0,front,0.6145,1309.266,605.921,0.666,69.678
3g limit,3.0,front,0.6951,1213.639,561.665,0.718,75.168
3g limit,3.0,front,0.7753,1122.561,519.515,0.776,81.267
3g limit,3.0,front,0.8550,1036.031,479.469,0.841,88.054
3g limit,3.0,front,0.9340,954.023,441.516,0.914,95.624
3g limit,3.0,front,1.0124,876.489,405.634,0.994,104.083
3g limit,3.0,front,1.0902,803.363,371.792,1.085,113.557
3g limit,3.0,front,1.1672,734.563,339.951,1.186,124.193
3g limit,3.0,front,1.2433,669.989,503.278,0.801,87.144
3g limit,3.0,front,1.3187,609.533,457.865,0.881,95.787
3g limit,3.0,front,1.3931,553.072,415.453,0.971,105.566
3g limit,3.0,front,1.4666,500.475,375.944,1.073,116.660
3g limit,3.0,front,1.5390,451.604,339.233,1.189,129.284
3g limit,3.0,front,1.6104,406.314,305.212,1.321,143.695
3g limit,3.0,front,1.6807,364.454,273.768,1.473,160.200
3g limit,3.0,front,1.7499,325.871,244.786,1.648,179.167
3g limit,3.0,front,1.8179,290.409,218.148,1.849,201.045
3g limit,3.0,front,1.8846,257.910,193.736,2.082,226.379
3g limit,3.0,front,1.9500,228.217,171.431,2.353,255.833
3g limit,3.0,front,2.0141,201.171,151.115,2.669,290.227
3g limit,3.0,front,2.0768,176.618,132.671,3.040,330.575
3g limit,3.0,front,2.1380,154.402,115.983,3.478,378.138
3g limit,3.0,front,2.1979,134.374,100.938,3.996,434.500
3g limit,3.0,front,2.2562,116.384,87.425,4.613,501.661
3g limit,3.0,front,2.3129,100.290,75.335,5.354,582.165
3g limit,3.0,front,2.3681,85.952,64.565,6.247,679.282
3g limit,3.0,front,2.4216,73.234,55.012,7.332,797.242
3g limit,3.0,front,2.4735,62.008,80.503,5.010,574.696
3g limit,3.0,front,2.5237,52.148,67.702,5.957,683.356
3g limit,3.0,front,2.5722,43.536,56.521,7.136,818.540
3g limit,3.0,front,2.6189,36.057,46.812,8.616,988.311
3g limit,3.0,front,2.6638,29.605,38.435,10.494,1203.710
3g limit,3.0,front,2.7069,24.077,31.258,12.903,1480.087
3g limit,3.0,front,2.7481,19.377,25.156,16.033,1839.107
3g limit,3.0,front,2.7875,15.414,20.012,20.155,2311.884
3g limit,3.0,front,2.8249,12.105,15.715,25.665,2943.963
3g limit,3.0,front,2.8604,9.369,12.164,33.158,3803.435
3g limit,3.0,front,2.8939,7.135,9.263,43.542,4994.526
3g limit,3.0,front,2.9255,5.334,6.925,58.245,6681.078
3g limit,3.0,front,2.9550,3.904,5.068,79.582,9128.505
3g limit,3.0,front,2.9826,2.788,3.620,111.431,12781.819
3g limit,3.0,front,3.0081,1.935,2.512,160.562,18417.358
3g limit,3.0,front,3.0315,1.298,1.685,239.340,27453.711
3g limit,3.0,front,3.0528,0.836,1.085,371.639,35635.624
3g limit,3.0,front,3.0721,0.512,0.665,606.676,35635.624
3g limit,3.0,front,3.0892,0.295,0.382,1054.486,35635.624
3g limit,3.0,front,3.1042,0.156,0.203,1987.422,35635.624
3g limit,3.0,front,3.1171,0.074,0.097,4175.118,35635.624
3g limit,3.0,front,3.1279,0.030,0.039,10222.587,35635.624
3g limit,3.0,front,3.1365,0.010,0.013,31601.037,35635.624
3g limit,3.0,front,3.1430,0.002,0.003,145968.822,35635.624
3g limit,3.0,front,3.1473,0.000,0.000,1643012.825,35635.624
3g limit,3.0,front,3.1495,0.000,0.000,403333333.333,35635.624
3g limit,3.0,rear,0.0412,262.433,227.162,1.776,195.537
3g limit,3.0,rear,0.1237,246.848,213.672,1.888,207.882
3g limit,3.0,rear,0.2060,231.703,200.562,2.011,221.470
3g limit,3.0,rear,0.2882,217.037,187.867,2.147,236.436
3g limit,3.0,rear,0.3702,202.880,175.613,2.297,252.934
